ID,Science,PI,Institution,Name,LaunchSite,Date,Year,Apogee,Vehicle,Impact
36.285,UG,France,University of Colorado,CHESS,WSMR,5/24/2014,2014,303.5,BLACK BRANT IX MOD 3,86.3
41.11,UO,Koehler,Colorado Space Grant Consortium,RockOn,WFF,6/26/2014,2014,117.99,TERRIER MK 12/IMPROVED ORION W/CLAMP RELEASE,61.2
46.007,GP,Rosanova,NASA/Wallops Flight Facility,SubTEC VI,WFF,7/2/2014,2014,8.2,TERRIER MK 12/MALEMUTE,2.2
36.289,US,Didkovsky,University of Southern California,,WSMR,7/22/2014,2014,321.5,BLACK BRANT IX MOD 2,82.8
36.308,GT,Hall,NASA/Wallops Flight Facility,,WFF,8/28/2014,2014,448.7,BLACK BRANT IX MOD 2,341.2
36.288,DS,Vourlidas,Naval Research Lab,VAULT 2.0,WSMR,9/30/2014,2014,288.9,BLACK BRANT IX MOD 2,80
36.253,US,Hassler,Southwest Research Institute,RAISE,WSMR,11/6/2014,2014,284,BLACK BRANT IX MOD 2,78.1
52.001,UE,Conde,University of Alaska Fairbanks,C-REX,ARR,11/24/2014,2014,487,Talos-Terrier Mk70-Brant-Nihka,1117.7
36.295,US,Krucker,University of California Berkeley,FOXSI,WSMR,12/11/2014,2014,339.9,BLACK BRANT IX MOD 2,77.9
46.009,UE,Collins,University of Alaska Fairbanks,MTex,PFRR,1/26/2015,2015,158.2,TERRIER MK 12/IMPROVED MALEMUTE,118.8
46.01,UE,Collins,University of Alaska Fairbanks,MTex,PFRR,1/26/2015,2015,156.2,TERRIER MK 12/IMPROVED MALEMUTEASE,141.6
41.112,UE,Larsen,Clemson University,MIST,PFRR,1/26/2015,2015,166.4,TERRIER MK 12/IMPROVED ORION,211.9
41.111,UE,Larsen,Clemson University,MIST,PFRR,1/26/2015,2015,159.2,TERRIER MK 12/IMPROVED ORION,222.7
49.002,UE,Swenson,Utah State University,ASSP,PFRR,1/28/2015,2015,519.2,BLACK BRANT XII,1002.1
46.008,UO,Koehler,Colorado Space Grant Consortium,RockSat X,WFF,4/18/2015,2015,154.3,TERRIER MK 12/MALEMUTE,146.1
36.292,UH,McEntaffer,University of Iowa,OGRESS,WSMR,5/2/2015,2015,273.3,BLACK BRANT IX MOD 2,
41.113,UO,Koehler,Colorado Space Grant Consortium,RockOn,WFF,6/25/2015,2015,114.95,TERRIER MK 12/IMPROVED ORION,
36.313,NP,Milliner,NASA/Wallops Flight Facility,,WFF,7/7/2015,2015,332.4,BLACK BRANT IX MOD 2 W/SPIN MOTORS,
46.012,UO,Koehler,Colorado Space Grant Consortium,RockSat-X,WFF,8/12/2015,2015,156,TERRIER MK 12/MALEMUTE,
36.282,US,Kankelborg,Montana State University,MOSES #2,WFF,8/27/2015,2015,,,
36.291,GS,Winebarger,NASA/Marshall Space Flight Center,CLASP,WFF,9/3/2015,2015,,,
36.3,US,Woods,University of Colorado,SDO EVE,WSMR,5/21/2015,2015,10.3,BLACK BRANT IX MOD 2,
