Recipient,Name,Year,University,Advisor,Program,Rocket1,Rocket2,Rocket3,Rocket4,Rocket5
55,"Boone, Joseph",1970,Wisconsin,Code,Ultraviolet Astronomy,,,,,
54,"Bohlin, Ralph",1970,Princeton,"Jenkins, Edward B.",,4.176,,,,
53,"Anderson, James G.",1970,Michigan,"Sharp, William E.",Aeronomy,,,,,
52,"Williams, Albert J. III",1969,Johns Hopkins,"Feldman, Paul D.",,21.085,21.081,21.093,21.095,
51,"Wentworth, Potter",1969,Minnesota,Winckler,,18.041,18.042,18.043,18.044,
50,"Stone, M. E.",1969,Princeton,"Jenkins, Edward B.",,4.17,,,,
49,"Patterson, Truman",1969,Pittsburgh,"Zipf, Edward C.",Auroral Studies,,,,,
48,"Palmieri, Thomas",1969,Wisconsin,"Kraushaar, Bill",,4.174,,,,
47,"Opal, Chet B.",1969,Johns Hopkins,"Moos, Warren",,4.197,4.206,4.217,,
46,"Niemann, Hasso B.",1969,Michigan,Carignan,EE,,,,,
45,"Lampton, Michael",1969,"California, Berkeley","Carlson, Charles W.",,14.XXX,,,,
44,"Kumar, Jack",1969,Pittsburgh,"Zipf, Edward C.",HE Resonance RAD'N,,,,,
43,"Jones, Robert A.",1969,Colorado,"Rense, W. A.",Solar Research,,,,,
42,"Huang, Philip",1969,Maryland,Bettinger,Ionospheric Parameters,18.012,,,,
41,"Dade, Anil",1969,"California, San Diego",McIlwain,Auroral Particles,,,,,
40,"Chase, Lee",1969,"California, Berkeley","Carlson, Charles W.",,18.036,18.037,,,
39,"Chappell, Charles R.",1969,Rice,"Anderson, Andrew B.",,8.047,,,,
38,"Buckley, Jay L.",1969,Johns Hopkins,"Moos, Warren",,4.206,4.308,,,
37,"Brasher, William",1969,"Texas, Dallas","Hanson, W. B.",Ion Chemistry,,,,,
36,"Ajello, Joseph M.",1969,Colorado,"Barth, Charles A.",Aeronomy/Solar Research,,,,,
35,"Warner, John D.",1968,Michigan,Carignan,Aero,,,,,
34,"Strickland, Douglas",1968,Pittsburgh,"Zipf, Edward C.",Atomic O2 Radiation,,,,,
33,"Reasoner, David L.",1968,Rice,"Anderson, Andrew B.",,4.217,,,,
32,"Rappaport, Saul",1968,MIT,"Bradt, Hale",X-ray Astr,,,,,
31,"Pfitzer, Karl A.",1968,Minnesota,Winckler,Aeronomy,11.006,,,,
